place,latitude,longitude,state,travelers
Place 283,43.91015,12.9133,,32
Place 284,39.952221,-75.162178,,2
Place 285,45.05242,9.69342,,84
Place 286,41.35082,14.36803,,1
Place 287,45.06666667,7.7,,2
Place 288,45.13677,7.05809,,1
Place 289,41.47047,13.17867,,4
Place 290,43.70853,10.4036,,490
Place 291,43.93333333,10.91666667,,20
Place 292,45.05242,9.69342,,1
Place 293,50.37153,-4.14305,,8
Place 294,43.4725646,11.146754,,3
Place 295,44.865791,13.84943962,,11
Place 296,44.86833,13.84806,,1
Place 297,50.06138889,19.93722222,,2
Place 298,40.9948996,17.2225389,,1
Place 299,40.5148399,15.4948137,,1
Place 300,40.750556,14.489722,,43
Place 301,41.4545679,13.6637674,,1
Place 302,41.41667,12.91667,,1
Place 303,40.81563,14.33716,,33
Place 304,42.8108565,10.3211801,,1
Place 305,40.03681,15.28812,,1
Place 306,44.30349,9.20942,,4
Place 307,50.79899,-1.09125,,17
Place 308,38.726391,-9.14947987,,1
Place 309,40.81139,14.20172977,,19
Place 310,40.84394,14.0952,,10
Place 311,50.083333,14.416667,,3
Place 312,45.9646956,11.7095642,,3
Place 313,40.75636,14.01457,,4
Place 314,42.89553,11.77005,,8
Place 315,44.3496,9.22796,,1
Place 316,49.01513,12.10161,,15
Place 317,44.4183598,12.2035294,,52
Place 318,45.70373,11.22216,,2
Place 319,38.1113006,15.6472914,,9
Place 320,44.69825,10.63125,,56
Place 321,44.05755,12.56528,,58
Place 322,45.071331,7.515940189,,3
Place 323,51.3883,0.4982,,3
Place 324,41.89305556,12.48277778,,5060
Place 325,42.28899,12.21479,,2
Place 326,51.9225,4.47917,,2
Place 327,45.89096,11.0401399,,2
Place 328,45.8904,11.04053,,2
Place 329,45.070148,11.78954983,,20
Place 330,55.75222,37.61556,,1
Place 331,43.69039,10.51691,,2
Place 332,42.685089,9.307290077,,2
Place 333,40.893291,14.28569031,,5
Place 334,43.81725,7.7772,,1
Place 335,46.20222,6.14569,,1
Place 336,40.673481,14.77124977,,14
Place 337,45.608392,10.5104769,,2
Place 338,47.800652,13.04337025,,1
Place 339,43.93333333,12.46666667,,2
Place 340,43.81725,7.7772,,3
Place 341,43.439758,13.60725975,,1
Place 342,44.2975603,8.4645,,12
Place 343,45.56465,5.92645,,3
Place 344,45.7170517,11.3597702,,4
Place 345,55.95206,-3.19648,,14
Place 346,43.7197926,13.2152224,,3
Place 347,43.07185,12.95217,,2
Place 348,43.995093,10.228071,,1
Place 349,41.23987,13.92966,,1
Place 350,44.27317,9.39683,,3
Place 351,38.18333333,15.55,,142
Place 352,43.31833333,11.33138889,,361
Place 353,38.418611,27.139167,,2
Place 354,40.82758,14.1394,,2
Place 355,41.7188539,13.6130491,,2
Place 356,40.62678,14.37771,,7
Place 357,44.793396,3.279489,,1
Place 358,40.35481,18.17244,,3
Place 359,50.49115,5.8635602,,18
Place 360,40.4165,-3.70256,,22
Place 361,43.506969,16.44207001,,4
Place 362,44.10202,9.820240021,,1
Place 363,42.73333333,12.73333333,,42
Place 364,45.55594,12.24294,,2
Place 365,46.55916667,8.561666667,,3
Place 366,59.933182,30.30603981,,1
Place 367,45.86889,7.17056,,2
Place 368,48.585041,7.736420155,,4
Place 369,38.78333,15.21667,,2
Place 370,41.9246531,13.0936685,,1
Place 371,45.138538,7.048409939,,9
Place 372,46.94798,7.44743,,79
Place 373,42.0686395,13.2517751,,1
Place 374,44.504822,11.34517956,,4
Place 375,40.46537,17.25053978,,10
Place 376,42.6611431,13.6986639,,1
Place 377,42.56666667,12.65,,46
Place 378,41.29174,13.24359,,13
Place 379,42.04945,13.92578,,13
Place 380,52.083333,4.316667,,8
Place 381,45.67146,11.92755,,5
Place 382,41.959721,12.79805565,,67
Place 383,42.7819352,12.4065686,,10
Place 384,40.78931,14.36806,,1
Place 385,44.8952122,8.8633326,,3
Place 386,43.125,5.930555556,,4
Place 387,43.60444444,1.443888889,,8
Place 388,41.2774857,16.4178334,,1
Place 389,41.9600762,13.536615,,1
Place 390,46.06787,11.12108,,19
Place 391,46.06787,11.12108,,13
Place 392,42.877529,12.74876022,,2
Place 393,45.6668893,12.2430437,,30
Place 394,45.6495264,13.7768182,,18
Place 395,38.6769938,15.8972233,,3
Place 396,45.06666667,7.7,,1177
Place 397,37.03944444,27.42916667,,4
Place 398,43.7710513,11.2486208,,16
Place 399,47.26266,11.39454,,2
Place 400,46.064522,13.23806953,,5
Place 401,43.72523889,12.6372,,35
Place 402,52.08888889,5.115555556,,2
Place 403,44.26913,8.43375,,3
Place 404,43.13851,13.17156,,2
Place 405,45.6448315,11.3024802,,21
Place 406,39.468681,-0.37691,,2
Place 407,43.732201,11.55751896,,8
Place 408,45.50948,11.02798557,,7
Place 409,45.5768405,9.5311364,,1
Place 410,45.82058,8.82511,,2
Place 411,41.68573,12.77753,,7
Place 412,45.67146,11.92755,,7
Place 413,45.43811,12.31814957,,2686
Place 414,45.3202272,8.4185735,,9
Place 415,45.54672,11.5475,,1
Place 416,45.43815833,10.99374167,,462
Place 417,40.82293,14.42874,,43
Place 418,40.3507,17.7326,,3
Place 419,43.86693,10.2502,,10
Place 420,45.54672,11.5475,,200
Place 421,48.20849,16.37208,,106
Place 422,40.6702,14.72661,,16
Place 423,43.70392,7.31088,,2
Place 424,42.4206766,12.107669,,66
Place 425,44.9916599,9.0120442,,2
Place 426,44.6223796,8.842666,,1
Place 427,52.60831,1.73052,,2
Place 428,53.7446,-0.33525,,4
Place 429,37.8,20.75,,1
Place 430,48.64882,9.57137,,1
Place 431,47.377071,8.539560318,,3
